yomi	candidate	freq	left_connection_id	right_connection_id
れ	れ	0	241	144
れ	れ	0	249	141
ろ	ろ	0	40	166
ろ	ろ	0	234	171
ろ	ろ	0	241	166
ろ	ろ	0	249	166
ろよ	ろよ	0	234	266
わ	わ	0	165	265
わ	わ	0	250	165
わぁ	わぁ	0	165	294
わあ	わあ	0	165	294
わけ	わけ	0	89	288
を	を	0	156	257
ん	ん	0	86	150
ん	ん	0	157	197
ん	ん	0	246	163
ん	ん	0	247	163
ん	ん	0	248	163
んかっ	んかっ	0	86	168
んくて	んくて	0	86	206
んち	んち	31	205	37
んちゃう	んちゃう	0	139	161
んちゃうん	んちゃうん	0	139	196
んで	んで	0	158	218
んとき	んとき	15	201	285
んとき	んとき	15	205	285
んとこ	んとこ	15	201	286
んとこ	んとこ	15	205	286
んところ	んところ	15	201	286
んところ	んところ	15	205	286
んな	んな	0	234	264
んな	んな	0	249	190
んな	んな	0	249	264
んなか	んなか	0	201	37
んなか	んなか	0	205	37
んなか	んなか	0	208	37
んなさい	んなさい	0	249	194
んなさすぎ	んなさすぎ	0	249	170
んなすぎ	んなすぎ	0	249	291
んなーい	んなーい	0	249	155
んや	んや	0	139	131
ー	ー	158	233	294
！	！	0	231	280
！	！	0	232	281
，	，	0	232	281
．	．	0	231	280
？	？	0	231	280
？	？	0	232	281
